release_speed;player_name;events;description;des;stand;p_throws;type;pitch_name;bat_speed;bat_win_exp;balls;strikes;outs_when_up;inning;inning_topbot;effective_speed;release_spin_rate
89.8;Weaver, Luke;;blocked_ball;Gavin Lux out on a sacrifice fly to center fielder Aaron Judge. Enrique Hernandez scores. Tommy Edman to 3rd.;L;R;B;Changeup;;0.622;1;1;0;8;Top;88.9;2018
95.8;Weaver, Luke;;called_strike;Gavin Lux out on a sacrifice fly to center fielder Aaron Judge. Enrique Hernandez scores. Tommy Edman to 3rd.;L;R;S;4-Seam Fastball;;0.622;1;0;0;8;Top;94.7;2582
95.8;Weaver, Luke;;ball;Gavin Lux out on a sacrifice fly to center fielder Aaron Judge. Enrique Hernandez scores. Tommy Edman to 3rd.;L;R;B;4-Seam Fastball;;0.622;0;0;0;8;Top;94.1;2548
85.8;Kahnle, Tommy;walk;ball;Will Smith walks. Enrique Hernandez to 3rd. Tommy Edman to 2nd.;R;R;B;Changeup;;0.456;3;0;0;8;Top;86;1246
85.7;Kahnle, Tommy;;ball;Will Smith walks. Enrique Hernandez to 3rd. Tommy Edman to 2nd.;R;R;B;Changeup;;0.456;2;0;0;8;Top;85.9;1343
87.4;Kahnle, Tommy;;ball;Will Smith walks. Enrique Hernandez to 3rd. Tommy Edman to 2nd.;R;R;B;Changeup;;0.456;1;0;0;8;Top;87.3;1328
87.8;Kahnle, Tommy;;blocked_ball;Will Smith walks. Enrique Hernandez to 3rd. Tommy Edman to 2nd.;R;R;B;Changeup;;0.456;0;0;0;8;Top;87.9;1354
87.8;Kahnle, Tommy;single;hit_into_play;Tommy Edman singles on a ground ball to shortstop Anthony Volpe. Enrique Hernandez to 2nd.;R;R;X;Changeup;76.8;0.335;0;0;0;8;Top;88.4;1323
88.3;Kahnle, Tommy;single;hit_into_play;Enrique Hernandez singles on a sharp line drive to left fielder Alex Verdugo.;R;R;X;Changeup;77.6;0.247;1;1;0;8;Top;89.1;1306
87.5;Kahnle, Tommy;;ball;Enrique Hernandez singles on a sharp line drive to left fielder Alex Verdugo.;R;R;B;Changeup;;0.247;0;1;0;8;Top;87.7;1175
86.7;Kahnle, Tommy;;called_strike;Enrique Hernandez singles on a sharp line drive to left fielder Alex Verdugo.;R;R;S;Changeup;;0.247;0;0;0;8;Top;87.3;1209
85.2;Treinen, Blake;field_out;hit_into_play;Gleyber Torres grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;X;Sweeper;72.8;0.762;3;2;2;7;Bot;84.2;2597
91.8;Treinen, Blake;;foul;Gleyber Torres grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;S;Cutter;69.8;0.762;3;1;2;7;Bot;91.6;2676
91.1;Treinen, Blake;;called_strike;Gleyber Torres grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;S;Cutter;;0.762;3;0;2;7;Bot;90.8;2741
96.6;Treinen, Blake;;ball;Gleyber Torres grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;B;4-Seam Fastball;;0.762;2;0;2;7;Bot;96;2482
84.8;Treinen, Blake;;ball;Gleyber Torres grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;B;Sweeper;;0.762;1;0;2;7;Bot;83.6;2540
85.7;Treinen, Blake;;ball;Gleyber Torres grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;B;Sweeper;;0.762;0;0;2;7;Bot;84.6;2682
84.5;Treinen, Blake;strikeout;called_strike;Alex Verdugo called out on strikes.;L;R;S;Sweeper;;0.776;2;2;1;7;Bot;83.1;2482
96.5;Treinen, Blake;;ball;Alex Verdugo called out on strikes.;L;R;B;4-Seam Fastball;;0.776;1;2;1;7;Bot;95.4;2436
85.6;Treinen, Blake;;foul;Alex Verdugo called out on strikes.;L;R;S;Sweeper;70.9;0.776;1;1;1;7;Bot;84.5;2510
91.3;Treinen, Blake;;ball;Alex Verdugo called out on strikes.;L;R;B;Cutter;;0.776;0;1;1;7;Bot;90.4;2607
84.8;Treinen, Blake;;called_strike;Alex Verdugo called out on strikes.;L;R;S;Sweeper;;0.776;0;0;1;7;Bot;83.7;2644
83.8;Treinen, Blake;strikeout;foul_tip;Austin Wells strikes out on a foul tip.;L;R;S;Sweeper;74.7;0.794;0;2;0;7;Bot;82.7;2533
85.1;Treinen, Blake;;foul;Austin Wells strikes out on a foul tip.;L;R;S;Sweeper;73.8;0.794;0;2;0;7;Bot;83.6;2460
92.9;Treinen, Blake;;foul;Austin Wells strikes out on a foul tip.;L;R;S;4-Seam Fastball;76.4;0.794;0;1;0;7;Bot;92.3;2548
83.7;Treinen, Blake;;called_strike;Austin Wells strikes out on a foul tip.;L;R;S;Sweeper;;0.794;0;0;0;7;Bot;82.1;2308
84.9;Holmes, Clay;strikeout;called_strike;Max Muncy called out on strikes.;L;R;S;Sweeper;;0.29;3;2;2;7;Top;83.8;2844
87.8;Holmes, Clay;;foul;Max Muncy called out on strikes.;L;R;S;Slider;84.8;0.29;3;2;2;7;Top;87.2;2588
84.8;Holmes, Clay;;ball;Max Muncy called out on strikes.;L;R;B;Sweeper;;0.29;2;2;2;7;Top;83.6;2884
85.2;Holmes, Clay;;ball;Max Muncy called out on strikes.;L;R;B;Sweeper;;0.29;1;2;2;7;Top;83.9;2833
97.7;Holmes, Clay;;foul;Max Muncy called out on strikes.;L;R;S;Sinker;;0.29;1;1;2;7;Top;96.3;2367
87.6;Holmes, Clay;;called_strike;Max Muncy called out on strikes.;L;R;S;Slider;;0.29;1;0;2;7;Top;86.8;2701
